# AUTHOR: C.J. Walcher
# SOURCE: CALIFA Collaboration 
# DATE: 2011-09-30
# VERSION: 1.0 
# COLAPRV: None
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: CALIFAName, string, , Internal name of the CALIFA galaxy
# COLUMN3: Name, string, , NED name of the galaxy 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
112, CALIFA112, NGC1132, 43.21598815, -1.27476215, E, 6, E, 3, S, 0, A, A, A, I, I, I
113, CALIFA113, UGC02367, 43.42173767, 6.26557445, S, ab, S, 0, S, cd, A, A, B, I, I, I
114, CALIFA114, NGC1142, 43.80093765, -0.18356256, S, d, S, 0, I, r, A, A, AB, M, M, M
115, CALIFA115, UGC02403, 43.98857116, 0.69260507, S, b, S, a, S, c, B, B, B, I, I, I
116, CALIFA116, UGC02405, 43.98989486, 6.49478292, S, bc, S, bc, S, c, A, A, AB, I, I, I
117, CALIFA117, UGC02443, 44.58959579, -2.04187846, S, cd, S, c, S, d, A, A, A, I, I, I
118, CALIFA118, UGC02465, 45.15593719, 35.16914749, S, 0, S, 0, S, a, A, A, AB, I, I, I
119, CALIFA119, NGC1167, 45.42640304, 35.20561599, S, 0, E, 7, S, a, A, A, A, I, I, I
120, CALIFA120, NGC1194, 45.95462036, -1.10374248, S, 0a, S, 0, S, a, A, A, AB, I, I, I
121, CALIFA121, NGC1211, 46.71842575, -0.79449236, S, 0a, S, 0, S, a, B, B, B, I, I, I
122, CALIFA122, MCG-01-09-006, 47.20134735, -7.04061031, S, bc, S, b, S, cd, AB, A, B, I, I, I
123, CALIFA123, IC0307, 48.43840026, -0.24145862, S, ab, S, a, S, b, B, AB, B, I, I, I
124, CALIFA124, UGC02628, 49.13267135, -0.46814215, S, bc, S, b, S, c, AB, A, B, I, I, I
125, CALIFA125, UGC02690, 50.17892837, -1.10863697, S, cd, S, c, S, d, AB, A, B, I, I, I
126, CALIFA126, NGC1324, 51.25701522, -5.74579572, S, b, S, a, S, cd, A, A, A, I, I, I
127, CALIFA127, NGC1349, 52.86463165, 4.38090038, E, 6, E, 0, S, a, A, A, A, I, I, I
128, CALIFA128, NGC1361, 53.57392501, -6.26499652, E, 5, E, 1, S, 0, A, A, A, I, I, I
129, CALIFA129, MCG-01-10-015, 54.66318130, -5.34734821, S, c, S, b, S, d, AB, A, AB, I, I, I
130, CALIFA130, MCG-01-10-019, 55.17910385, -6.41515827, S, bc, S, b, S, c, AB, A, AB, I, I, I
131, CALIFA131, NGC1542, 64.30905151, 4.78173303, S, ab, S, 0, S, c, AB, A, AB, I, I, I
132, CALIFA132, UGC03038, 66.25547027, 7.17097091, S, ab, S, a, S, c, A, A, AB, I, I, I
133, CALIFA133, UGC03107, 69.34104919, 9.54465198, S, b, S, a, S, cd, A, A, AB, I, I, I
134, CALIFA134, NGC1645, 71.02666473, -5.46567058, S, 0a, S, 0, S, ab, B, B, B, I, I, I
135, CALIFA135, UGC03151, 71.33182525, 11.06795120, S, a, S, 0, S, bc, AB, A, B, I, I, I
136, CALIFA136, NGC1656, 71.47243499, -5.13672351, E, 6, E, 4, S, 0, A, A, AB, I, I, I
137, CALIFA137, NGC1659, 71.62477111, -4.78885316, S, bc, S, b, S, c, AB, A, B, I, I, I
138, CALIFA138, NGC1665, 72.07118225, -5.42760992, S, 0, S, 0, S, 0, AB, A, B, I, I, I
139, CALIFA139, NGC1666, 72.13684844, -6.57004690, S, 0a, S, 0, S, a, B, B, B, I, I, I
140, CALIFA140, NGC1667, 72.15492248, -6.31998205, S, bc, S, ab, S, cd, B, B, B, I, I, I
141, CALIFA141, IC2095, 72.19116973, -5.12462997, S, c, S, ab, S, d, AB, A, AB, I, I, M
142, CALIFA142, IC2098, 72.68448638, -5.41839075, S, b, S, a, S, c, AB, A, AB, I, I, I
143, CALIFA143, NGC1677, 72.71700286, -4.89265632, S, cd, S, 0, I, r, AB, A, AB, I, I, I
144, CALIFA144, IC2101, 72.92566680, -6.23154449, S, cd, S, c, S, d, AB, A, B, I, I, I
145, CALIFA145, ARP180, 73.35250854, -4.79267501, S, cd, E, 3, I, r, AB, A, B, M, M, M
146, CALIFA146, UGC03253, 79.92452239, 84.05261993, S, b, S, ab, S, c, B, B, B, I, I, I
147, CALIFA147, NGC2253, 100.92431640, 65.20637512, S, bc, S, c, S, d, B, A, B, I, I, I
148, CALIFA148, UGC03539, 102.22501373, 66.26163482, S, c, S, b, S, d, AB, A, B, I, I, I
149, CALIFA149, NGC2347, 109.01702880, 64.71132659, S, bc, S, ab, S, c, AB, A, B, I, I, I
150, CALIFA150, UGC03899, 113.15728759, 35.61447906, S, d, S, c, S, m, A, A, AB, I, I, I
151, CALIFA151, NGC2410, 113.75942230, 32.82210159, S, b, S, a, S, bc, AB, A, B, I, I, I
152, CALIFA152, UGC03944, 114.65211486, 37.63351058, S, bc, S, ab, S, cd, AB, A, B, I, I, I
153, CALIFA153, UGC03969, 115.30976104, 27.61406517, S, b, S, a, S, d, A, A, AB, I, I, I
154, CALIFA154, UGC03973, 115.63676452, 49.80966186, S, bc, S, b, S, cd, B, B, B, I, I, I
155, CALIFA155, UGC03995, 116.03803253, 29.24743080, S, b, S, ab, S, c, B, A, B, I, I, M
156, CALIFA156, NGC2449, 116.83457946, 26.93019676, S, ab, S, a, S, b, AB, A, B, I, I, I
157, CALIFA157, UGC04029, 117.07901000, 34.33226776, S, c, S, b, S, d, AB, A, B, I, I, I
158, CALIFA158, UGC04054, 117.73355102, 23.89591407, S, cd, S, bc, S, d, A, A, B, I, I, I
159, CALIFA159, IC0480, 118.84678649, 26.74112319, S, c, S, ab, S, m, AB, A, AB, I, I, I
160, CALIFA160, NGC2476, 119.18827819, 39.92789077, E, 6, E, 3, S, 0, A, A, A, I, I, I
161, CALIFA161, NGC2480, 119.29351806, 23.77980613, S, dm, S, c, I, r, A, A, AB, M, I, M
162, CALIFA162, NGC2481, 119.30730438, 23.76776695, S, 0, S, 0, S, 0a, A, A, B, I, I, M
163, CALIFA163, NGC2486, 119.48536682, 25.16086769, S, ab, S, a, S, ab, B, B, B, I, I, I
164, CALIFA164, NGC2487, 119.58526611, 25.14921379, S, b, S, a, S, c, B, B, B, I, I, I
165, CALIFA165, UGC04132, 119.80435943, 32.91467285, S, bc, S, ab, S, d, AB, A, B, I, I, M
166, CALIFA166, UGC04140, 119.84256744, 18.11018753, S, cd, S, bc, S, m, A, A, AB, I, I, I
167, CALIFA167, UGC04145, 119.91716003, 15.38681221, S, a, S, 0, S, b, AB, A, B, I, I, I
168, CALIFA168, UGC04136, 119.97682952, 47.41310119, S, a, S, 0, S, b, AB, A, B, I, I, I
169, CALIFA169, IC0485, 120.08235931, 26.70144081, S, ab, S, a, S, b, AB, A, B, I, I, M
170, CALIFA170, NGC2507, 120.40503692, 15.70973682, S, 0a, S, 0, S, a, A, A, AB, I, I, M
171, CALIFA171, NGC2513, 120.60279846, 9.41355323, E, 2, E, 0, E, 4, A, A, A, I, I, I
172, CALIFA172, UGC04176, 120.67854309, 40.67862701, S, d, S, d, I, r, AB, A, B, I, I, I
173, CALIFA173, UGC04190, 120.73971557, 16.29931259, S, 0a, S, 0, S, a, A, A, AB, I, I, I
174, CALIFA174, UGC04197, 120.85636138, 10.05052661, S, ab, S, 0, I, r, AB, A, AB, I, I, I
175, CALIFA175, UGC04210, 121.27250671, 25.06258392, S, cd, S, bc, S, m, A, A, AB, I, I, I
176, CALIFA176, UGC04195, 121.27875518, 66.78303527, S, b, S, a, S, c, B, B, B, I, I, I
177, CALIFA177, NGC2522, 121.55601501, 17.70657730, S, ab, S, 0, S, c, A, A, A, I, I, I
178, CALIFA178, UGC04233, 121.82196044, 8.86905765, S, bc, S, ab, S, d, A, A, AB, I, I, I
179, CALIFA179, NGC2530, 121.98168945, 17.81849670, S, d, S, cd, S, m, AB, A, B, I, I, I
180, CALIFA180, UGC04240, 122.02553558, 14.83774566, S, b, S, a, S, bc, AB, A, B, I, I, I
181, CALIFA181, UGC04245, 122.19095611, 18.19421005, S, bc, S, b, S, c, AB, A, B, I, I, I
182, CALIFA182, UGC04258, 122.69914245, 46.91227722, S, dm, S, cd, I, r, A, A, AB, I, I, I
183, CALIFA183, NGC2540, 123.19353485, 26.36177635, S, bc, S, b, S, c, B, B, B, I, I, I
184, CALIFA184, NGC2543, 123.24135589, 36.25463104, S, bc, S, b, S, c, B, B, B, I, I, I
185, CALIFA185, UGC04280, 123.63893127, 54.79956436, S, b, S, a, S, c, AB, A, B, I, I, I
186, CALIFA186, IC2247, 123.99623870, 23.19961738, S, ab, S, a, S, ab, A, A, AB, I, I, I
